round,indicator,group,subgroup,sample_size,response,percent,standard_error,suppression,significant_1,significant_2
2,Provider offers telemedicine,Education,Some college,,Do not know,5.1,0.8,,0,
2,Provider offers telemedicine,Education,Some college,,No usual place of care,8.7,0.8,,1,
2,Provider offers telemedicine,Education,Bachelor's degree or above,2646,Total,100,,,,
2,Provider offers telemedicine,Education,Bachelor's degree or above,,Yes,40.8,1.3,,0,
2,Provider offers telemedicine,Education,Bachelor's degree or above,,No,44.6,1.3,,0,
2,Provider offers telemedicine,Education,Bachelor's degree or above,,Do not know,6.2,0.7,,0,
2,Provider offers telemedicine,Education,Bachelor's degree or above,,No usual place of care,8.4,0.6,,0,
2,Provider offers telemedicine,Urbanization,Metropolitan,5315,Total,100,,,,
2,Provider offers telemedicine,Urbanization,Metropolitan,,Yes,38,0.7,,0,
2,Provider offers telemedicine,Urbanization,Metropolitan,,No,46.9,0.8,,0,
2,Provider offers telemedicine,Urbanization,Metropolitan,,Do not know,5.5,0.4,,0,
2,Provider offers telemedicine,Urbanization,Metropolitan,,No usual place of care,9.7,0.6,,1,
2,Provider offers telemedicine,Urbanization,Non-Metropolitan,657,Total,100,,,,
2,Provider offers telemedicine,Urbanization,Non-Metropolitan,,Yes,30.3,2.7,,0,
2,Provider offers telemedicine,Urbanization,Non-Metropolitan,,No,57,3.6,,0,
2,Provider offers telemedicine,Urbanization,Non-Metropolitan,,Do not know,,,*,,
2,Provider offers telemedicine,Urbanization,Non-Metropolitan,,No usual place of care,7.8,1.8,,0,
2,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,3650,Total,100,,,,
2,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,Yes,44.5,0.8,,0,
2,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,No,45.7,1.2,,0,
2,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,Do not know,3.6,0.4,,0,
2,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,No usual place of care,6.2,0.5,,0,
2,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,689,Total,100,,,,
2,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,Yes,55.2,2.9,,0,
2,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,No,36.9,3.1,,0,
2,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,Do not know,2.2,0.9,,0,
2,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,No usual place of care,5.7,1.4,,0,
2,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,2190,Total,100,,,,
2,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,Yes,47.1,1.3,,0,
2,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,No,44.5,1.6,,0,
2,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,Do not know,3.1,0.5,,0,
2,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,No usual place of care,5.3,0.6,,0,
2,Provider offers telemedicine,Chronic conditions,Current asthma,619,Total,100,,,,
2,Provider offers telemedicine,Chronic conditions,Current asthma,,Yes,44.6,2.3,,0,
2,Provider offers telemedicine,Chronic conditions,Current asthma,,No,43.5,2.3,,0,
2,Provider offers telemedicine,Chronic conditions,Current asthma,,Do not know,3.3,1,,0,
2,Provider offers telemedicine,Chronic conditions,Current asthma,,No usual place of care,8.6,1.4,,0,
3,Provider offers telemedicine,Total,Total,2738,Total,100,,,,
3,Provider offers telemedicine,Total,Total,,Yes,31.7,1.2,,1,1
3,Provider offers telemedicine,Total,Total,,No,54.1,1.3,,1,1
3,Provider offers telemedicine,Total,Total,,Do not know,3.9,0.5,,0,1
3,Provider offers telemedicine,Total,Total,,No usual place of care,10.2,1,,0,0
3,Provider offers telemedicine,Age group,18-44 years,1007,Total,100,,,,
3,Provider offers telemedicine,Age group,18-44 years,,Yes,27.8,1.7,,0,0
3,Provider offers telemedicine,Age group,18-44 years,,No,49.8,2.2,,0,0
3,Provider offers telemedicine,Age group,18-44 years,,Do not know,5.9,1,,0,0
3,Provider offers telemedicine,Age group,18-44 years,,No usual place of care,16.5,1.9,,0,0
3,Provider offers telemedicine,Age group,45-64 years,892,Total,100,,,,
3,Provider offers telemedicine,Age group,45-64 years,,Yes,34,2,,1,1
3,Provider offers telemedicine,Age group,45-64 years,,No,56.8,2.1,,1,1
3,Provider offers telemedicine,Age group,45-64 years,,Do not know,3,0.9,,0,0
3,Provider offers telemedicine,Age group,45-64 years,,No usual place of care,6.2,1,,0,0
3,Provider offers telemedicine,Age group,65 years and over,839,Total,100,,,,
3,Provider offers telemedicine,Age group,65 years and over,,Yes,37.1,2.1,,1,1
3,Provider offers telemedicine,Age group,65 years and over,,No,59.7,2.2,,1,1
3,Provider offers telemedicine,Age group,65 years and over,,Do not know,0.8,0.3,,1,0
3,Provider offers telemedicine,Age group,65 years and over,,No usual place of care,2.5,0.7,,0,0
3,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,1764,Total,100,,,,
3,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,Yes,32.2,1.5,,1,1
3,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,No,57.5,1.4,,1,1
3,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,Do not know,2.9,0.5,,1,1
3,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,No usual place of care,7.5,1,,0,0
3,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,401,Total,100,,,,
3,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,Yes,34.9,3.3,,0,0
3,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,No,45.5,3.3,,0,0
3,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,Do not know,,,*,,
3,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,No usual place of care,14.9,3,,0,0
3,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,180,Total,100,,,,
3,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,Yes,23.8,3.3,,1,1
3,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,No,58.1,5.1,,1,0
3,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,Do not know,,,*,,
3,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,No usual place of care,,,*,,
3,Provider offers telemedicine,Race/Hispanic origin,Hispanic,393,Total,100,,,,
3,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,Yes,31.1,2.8,,0,0
3,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,No,45.4,3.6,,0,0
3,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,Do not know,7.6,2,,0,0
3,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,No usual place of care,15.9,3.1,,0,0
3,Provider offers telemedicine,Sex,Male,1226,Total,100,,,,
3,Provider offers telemedicine,Sex,Male,,Yes,29.9,1.9,,0,0
3,Provider offers telemedicine,Sex,Male,,No,53.7,1.7,,1,1
3,Provider offers telemedicine,Sex,Male,,Do not know,4.8,1,,0,0
3,Provider offers telemedicine,Sex,Male,,No usual place of care,11.6,1.2,,0,0
3,Provider offers telemedicine,Sex,Female,1512,Total,100,,,,
3,Provider offers telemedicine,Sex,Female,,Yes,33.4,1.6,,1,1
3,Provider offers telemedicine,Sex,Female,,No,54.5,1.6,,1,1
3,Provider offers telemedicine,Sex,Female,,Do not know,3.2,0.5,,1,1
3,Provider offers telemedicine,Sex,Female,,No usual place of care,8.9,1.2,,0,0
3,Provider offers telemedicine,Education,High school graduate or less,631,Total,100,,,,
3,Provider offers telemedicine,Education,High school graduate or less,,Yes,29.3,2.6,,0,0
3,Provider offers telemedicine,Education,High school graduate or less,,No,53.1,2.6,,1,0
3,Provider offers telemedicine,Education,High school graduate or less,,Do not know,,,*,,
3,Provider offers telemedicine,Education,High school graduate or less,,No usual place of care,13.8,1.9,,0,0
3,Provider offers telemedicine,Education,Some college,1314,Total,100,,,,
3,Provider offers telemedicine,Education,Some college,,Yes,33.9,1.7,,0,1
3,Provider offers telemedicine,Education,Some college,,No,53.6,1.7,,1,1
3,Provider offers telemedicine,Education,Some college,,Do not know,3.8,0.7,,0,0
3,Provider offers telemedicine,Education,Some college,,No usual place of care,8.7,1.1,,0,0
3,Provider offers telemedicine,Education,Bachelor's degree or above,793,Total,100,,,,
3,Provider offers telemedicine,Education,Bachelor's degree or above,,Yes,32.6,2,,1,1
3,Provider offers telemedicine,Education,Bachelor's degree or above,,No,56,1.8,,1,1
3,Provider offers telemedicine,Education,Bachelor's degree or above,,Do not know,4.3,1.2,,0,0
3,Provider offers telemedicine,Education,Bachelor's degree or above,,No usual place of care,7.2,1,,0,0
3,Provider offers telemedicine,Urbanization,Metropolitan,2313,Total,100,,,,
3,Provider offers telemedicine,Urbanization,Metropolitan,,Yes,33.3,1.2,,1,1
3,Provider offers telemedicine,Urbanization,Metropolitan,,No,52,1.3,,1,1
3,Provider offers telemedicine,Urbanization,Metropolitan,,Do not know,4.1,0.7,,0,0
3,Provider offers telemedicine,Urbanization,Metropolitan,,No usual place of care,10.5,1,,0,0
3,Provider offers telemedicine,Urbanization,Non-Metropolitan,425,Total,100,,,,
3,Provider offers telemedicine,Urbanization,Non-Metropolitan,,Yes,23,3,,1,0
3,Provider offers telemedicine,Urbanization,Non-Metropolitan,,No,65.8,2.9,,1,1
3,Provider offers telemedicine,Urbanization,Non-Metropolitan,,Do not know,,,*,,
3,Provider offers telemedicine,Urbanization,Non-Metropolitan,,No usual place of care,8.3,2.4,,0,0
3,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,1701,Total,100,,,,
3,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,Yes,38.7,1.6,,1,1
3,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,No,53.1,1.5,,1,1
3,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,Do not know,2.9,0.6,,0,0
3,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,No usual place of care,5.3,0.9,,0,0
3,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,373,Total,100,,,,
3,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,Yes,45.4,3.1,,1,1
3,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,No,49.9,3.3,,1,1
3,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,Do not know,0.4,0.2,,1,1
3,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,No usual place of care,,,*,,
3,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,1038,Total,100,,,,
3,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,Yes,39.7,2.2,,1,1
3,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,No,52.6,2.3,,1,1
3,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,Do not know,2.7,0.8,,0,0
3,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,No usual place of care,5,1.1,,0,0
3,Provider offers telemedicine,Chronic conditions,Current asthma,258,Total,100,,,,
3,Provider offers telemedicine,Chronic conditions,Current asthma,,Yes,38.5,5.5,,0,0
3,Provider offers telemedicine,Chronic conditions,Current asthma,,No,50.7,5.7,,0,0
3,Provider offers telemedicine,Chronic conditions,Current asthma,,Do not know,,,*,,
3,Provider offers telemedicine,Chronic conditions,Current asthma,,No usual place of care,,,*,,
1,Scheduled one or more telemedicine appointments,Total,Total,6758,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Total,Total,,Yes,24.2,0.9,,,
1,Scheduled one or more telemedicine appointments,Total,Total,,No,17.3,0.7,,,
1,Scheduled one or more telemedicine appointments,Total,Total,,No telemedicine available,58.5,0.8,,,
1,Scheduled one or more telemedicine appointments,Age group,18-44 years,2584,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Age group,18-44 years,,Yes,18.8,1,,,
1,Scheduled one or more telemedicine appointments,Age group,18-44 years,,No,17.8,1.1,,,
1,Scheduled one or more telemedicine appointments,Age group,18-44 years,,No telemedicine available,63.4,1.1,,,
1,Scheduled one or more telemedicine appointments,Age group,45-64 years,2379,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Age group,45-64 years,,Yes,26.9,1.3,,,
1,Scheduled one or more telemedicine appointments,Age group,45-64 years,,No,17,1.1,,,
1,Scheduled one or more telemedicine appointments,Age group,45-64 years,,No telemedicine available,56.1,1.4,,,
1,Scheduled one or more telemedicine appointments,Age group,65 years and over,1795,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Age group,65 years and over,,Yes,32,1.4,,,
1,Scheduled one or more telemedicine appointments,Age group,65 years and over,,No,16.7,1.2,,,
1,Scheduled one or more telemedicine appointments,Age group,65 years and over,,No telemedicine available,51.3,1.3,,,
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,White non-Hispanic,4501,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,White non-Hispanic,,Yes,24.7,1.3,,,
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,White non-Hispanic,,No,17.4,0.8,,,
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,White non-Hispanic,,No telemedicine available,57.9,1.3,,,
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Black non-Hispanic,801,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Black non-Hispanic,,Yes,27.4,2.2,,,
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Black non-Hispanic,,No,16,1.3,,,
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Black non-Hispanic,,No telemedicine available,56.6,2.7,,,
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Other non-Hispanic,525,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Other non-Hispanic,,Yes,19.9,2.3,,,
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Other non-Hispanic,,No,21.5,2.7,,,
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Other non-Hispanic,,No telemedicine available,58.6,2.4,,,
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Hispanic,931,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Hispanic,,Yes,21.9,1.8,,,
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Hispanic,,No,16.1,1.8,,,
1,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Hispanic,,No telemedicine available,62,2.3,,,
1,Scheduled one or more telemedicine appointments,Sex,Male,2954,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Sex,Male,,Yes,22,1.1,,,
1,Scheduled one or more telemedicine appointments,Sex,Male,,No,16,0.8,,,
1,Scheduled one or more telemedicine appointments,Sex,Male,,No telemedicine available,62,1.1,,,
1,Scheduled one or more telemedicine appointments,Sex,Female,3804,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Sex,Female,,Yes,26.4,1,,,
